tracker,zoom,amp_px,rmse_px
zncc,2,0.05,0.010887008555829759
cotracker,2,0.05,0.04714246686342052
zncc,2,0.1,0.014469424292356236
cotracker,2,0.1,0.03438639248377204
zncc,2,0.25,0.020817346367156334
cotracker,2,0.25,0.03307037618231876
zncc,2,0.5,0.01850905460520292
cotracker,2,0.5,0.059166990025006146
zncc,2,1.0,0.01812324765688944
cotracker,2,1.0,0.05888529890861771
zncc,2,2.0,0.014484053862204652
cotracker,2,2.0,0.05394666918625015
